Ê±¼ä,Inbound,Outbound
2021/6/2 11:35,15450404895,79994059556
2021/6/2 11:40,15578044216,79662799878
2021/6/2 11:45,15637703969,79962441821
2021/6/2 11:50,15936020999,80746745092
2021/6/2 11:55,16128429178,81003670819
2021/6/2 12:00,15662552339,81654737864
2021/6/2 12:05,15925516152,82795414448
2021/6/2 12:10,15581387007,82558895124
2021/6/2 12:15,15616806117,83093094427
2021/6/2 12:20,16103801142,84071620740
2021/6/2 12:25,16537443991,84488044641
2021/6/2 12:30,16650967424,84857840305
2021/6/2 12:35,16728434913,85257590636
2021/6/2 12:40,17013613489,85620684062
2021/6/2 12:45,16852378803,84837532880
2021/6/2 12:50,16755084544,84268117801
2021/6/2 12:55,16771729668,84093338820
2021/6/2 13:00,16459430123,82359882540
2021/6/2 13:05,16911444991,82988977733
2021/6/2 13:10,16636320811,81698090158
2021/6/2 13:15,16904273717,81126980342
2021/6/2 13:20,17080690280,80565924533
2021/6/2 13:25,16024175590,78169328069
2021/6/2 13:30,15840558297,79864047105
2021/6/2 13:35,15907981070,79434571333
2021/6/2 13:40,15882297022,78750759064
2021/6/2 13:45,15703500008,78428582620
2021/6/2 13:50,15541709509,77355939284
2021/6/2 13:55,15717195738,78433554457
2021/6/2 14:00,15615147275,77701102040
2021/6/2 14:05,15974444125,78960776998
2021/6/2 14:10,16307287941,78753224319
2021/6/2 14:15,16648875422,77838289553
2021/6/2 14:20,16453961117,78402070728
2021/6/2 14:25,17109528812,78493473733
2021/6/2 14:30,16943494415,79004324627
2021/6/2 14:35,17408196883,79598306755
2021/6/2 14:40,17394215497,79357552081
2021/6/2 14:45,16914293900,78320750790
2021/6/2 14:50,16839152819,78453072651
2021/6/2 14:55,17148340389,79291400729
2021/6/2 15:00,17160958542,79392667628
2021/6/2 15:05,17559473772,80017511080
2021/6/2 15:10,18143646318,79074489060
2021/6/2 15:15,18673232527,79897312069
2021/6/2 15:20,18181070595,79252172538
2021/6/2 15:25,18276510293,79373375348
2021/6/2 15:30,18103287239,79407064991
2021/6/2 15:35,18466918515,79646775298
2021/6/2 15:40,18828472849,80386967136
2021/6/2 15:45,19703518675,79332165843
2021/6/2 15:50,19247419783,79326474022
2021/6/2 15:55,19222060271,79804602715
2021/6/2 16:00,19007938784,79843976325
2021/6/2 16:05,19152970349,79404248138
2021/6/2 16:10,18897051900,80132749206
2021/6/2 16:15,19114582196,80051980816
2021/6/2 16:20,19043733697,79384205210
2021/6/2 16:25,19293422925,80291430618
2021/6/2 16:30,19849209214,80477791260
2021/6/2 16:35,20189715739,80501432230
2021/6/2 16:40,20740393805,80047996964
2021/6/2 16:45,20950977694,80548215709
